"movie_name","movie_url","score","evalue_users","year","other"
"搏击俱乐部（豆瓣）","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292000/",9,365419,1999," 美国 / 德国 / 剧情 / 动作 / 悬疑 / 惊悚"
"天空之城 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1291583/",9,283731,1986," 日本 / 动画 / 奇幻 / 冒险"
"蝙蝠侠：黑暗骑士 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1851857/",9,269322,2008," 美国 / 英国 / 剧情 / 动作 / 科幻 / 犯罪 / 惊悚"
"飞越疯人院 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292224/",9,242165,1975," 美国 / 剧情"
"两杆大烟枪 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1293350/",9,240750,1998," 英国 / 剧情 / 喜剧 / 犯罪"
"活着 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292365/",9,215537,1994," 中国大陆 / 香港 / 剧情 / 家庭"
"钢琴家 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1296736/",9,174765,2002," 法国 / 德国 / 英国 / 波兰 / 剧情 / 传记 / 历史 / 战争"
"素媛 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/21937452/",9,128763,2013," 韩国 / 剧情 / 家庭"
"狩猎 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/6985810/",9,92126,2012," 丹麦 / 瑞典 / 比利时 / 剧情"
"完美的世界 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1300992/",9,65258,1993," 美国 / 剧情 / 犯罪"
"追随 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1397546/",9,63431,1998," 英国 / 犯罪 / 悬疑 / 惊悚"
"当幸福来敲门 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1849031/",8.9,467700,2008," 美国 / 剧情 / 传记 / 家庭"
"怦然心动 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/3319755/",8.9,453374,2010," 美国 / 剧情 / 喜剧 / 爱情"
"飞屋环游记 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/2129039/",8.9,440672,2009," 美国 / 剧情 / 喜剧 / 动画 / 奇幻 / 冒险"
"罗马假日 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1293839/",8.9,334441,1953," 美国 / 喜剧 / 剧情 / 爱情"
"无间道 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1307914/",8.9,333937,2003," 香港 / 犯罪 / 悬疑 / 惊悚"
"大话西游之月光宝盒 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1299398/",8.9,333380,2014," 香港 / 中国大陆 / 喜剧 / 动作 / 爱情 / 奇幻 / 冒险 / 古装"
"闻香识女人 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1298624/",8.9,274548,1992," 美国 / 剧情"
"美丽心灵 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1306029/",8.9,265269,2001," 美国 / 传记 / 剧情"
"指环王1：魔戒再现 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1291571/",8.9,265260,2002," 新西兰 / 美国 / 剧情 / 动作 / 奇幻 / 冒险"
"指环王2：双塔奇兵 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1291572/",8.9,237955,2003," 美国 / 新西兰 / 剧情 / 动作 / 奇幻 / 冒险"
"死亡诗社 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1291548/",8.9,233296,1989," 美国 / 剧情"
"被嫌弃的松子的一生 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1787291/",8.9,221701,2006," 日本 / 剧情 / 歌舞"
"玛丽和马克思 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/3072124/",8.9,211185,2009," 澳大利亚 / 剧情 / 爱情 / 动画"
"音乐之声 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1294408/",8.9,201630,1965," 美国 / 剧情 / 爱情 / 歌舞 / 家庭 / 传记"
"饮食男女 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1291818/",8.9,146872,1994," 台湾 / 美国 / 剧情 / 家庭"
"上帝之城 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292208/",8.9,137412,2002," 巴西 / 法国 / 犯罪 / 剧情"
"一一 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292434/",8.9,129322,2000," 台湾 / 日本 / 剧情 / 爱情 / 家庭"
"虎口脱险 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1296909/",8.9,92884,1966," 法国 / 英国 / 喜剧 / 战争"
"小森林 夏秋篇 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/25814705/",8.9,88082,2014," 日本 / 剧情"
"雨中曲 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1293460/",8.9,77209,1952," 美国 / 喜剧 / 歌舞 / 爱情"
"勇士 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/3217169/",8.9,74853,2011," 美国 / 剧情 / 运动 / 家庭"
"小森林 冬春篇 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/25814707/",8.9,74718,2015," 日本 / 剧情"
"V字仇杀队 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1309046/",8.8,352296,2005," 美国 / 英国 / 德国 / 剧情 / 动作 / 科幻 / 惊悚"
"疯狂原始人 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1907966/",8.8,325306,2013," 美国 / 喜剧 / 动画 / 冒险"
"情书 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292220/",8.8,314158,1995," 日本 / 剧情 / 爱情"
"哈尔的移动城堡 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1308807/",8.8,292869,2004," 日本 / 爱情 / 动画 / 奇幻 / 冒险"
"致命魔术 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1780330/",8.8,292715,2006," 美国 / 英国 / 剧情 / 悬疑 / 惊悚"
"入殓师 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/2149806/",8.8,282888,2008," 日本 / 剧情"
"勇敢的心 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1294639/",8.8,262188,1995," 美国 / 动作 / 传记 / 剧情 / 历史 / 战争"
"狮子王 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1301753/",8.8,243394,1995," 美国 / 剧情 / 动画 / 冒险 / 歌舞 / 家庭"
"阳光姐妹淘 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/4917726/",8.8,227133,2011," 韩国 / 剧情 / 喜剧"
"幽灵公主 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1297359/",8.8,200335,1997," 日本 / 动画 / 冒险 / 奇幻"
